NEURON;SYNAPSE;GAUSS_RAD;LOG_FACTOR;VOTE_PARAM;HIT
18x10;64;3;4;3;0.9209302326
18x10;64;3;6;2;0.9209302326
18x10;64;3;6;2.5;0.9255813953
18x10;64;3;6;3;0.9162790698
18x10;64;3;8;2;0.9069767442
18x10;64;3;8;2.5;0.9209302326
18x10;64;3;8;3;0.9069767442
18x10;64;3;10;2;0.8976744186
18x10;64;3;10;2.5;0.9
18x10;64;3;10;3;0.9069767442
18x10;64;5;2;2;0.9790697674
18x10;64;5;2;2.5;0.9697674419
18x10;64;5;2;3;0.976744186
18x10;64;5;4;2;0.9627906977
18x10;64;5;4;2.5;0.9674418605
18x10;64;5;4;3;0.976744186
18x10;64;5;6;2;0.9651162791
18x10;64;5;6;2.5;0.9720930233
18x10;64;5;6;3;0.9697674419
18x10;64;5;8;2;0.9651162791
18x10;64;5;8;2.5;0.9627906977
18x10;64;5;8;3;0.9604651163
18x10;64;5;10;2;0.9511627907
18x10;64;5;10;2.5;0.9558139535
18x10;64;5;10;3;0.9534883721
18x10;64;7;2;2;0.9813953488
18x10;64;7;2;2.5;0.9860465116
18x10;64;7;2;3;0.9906976744
18x10;64;7;4;2;0.9837209302
18x10;64;7;4;2.5;0.9860465116
18x10;64;7;4;3;0.988372093
18x10;64;7;6;2;0.9860465116
18x10;64;7;6;2.5;0.9790697674
18x10;64;7;6;3;0.9860465116
18x10;64;7;8;2;0.976744186
18x10;64;7;8;2.5;0.976744186
18x10;64;7;8;3;0.9813953488
18x10;64;7;10;2;0.9744186047
18x10;64;7;10;2.5;0.9744186047
18x10;64;7;10;3;0.9790697674
18x10;64;9;2;2;0.9813953488
18x10;64;9;2;2.5;0.9813953488
18x10;64;9;2;3;0.9813953488
18x10;64;9;4;2;0.976744186
18x10;64;9;4;2.5;0.9744186047
18x10;64;9;4;3;0.9790697674
18x10;64;9;6;2;0.976744186
18x10;64;9;6;2.5;0.9813953488
18x10;64;9;6;3;0.9813953488
18x10;64;9;8;2;0.9790697674
18x10;64;9;8;2.5;0.9720930233
18x10;64;9;8;3;0.976744186
18x10;64;9;10;2;0.9720930233
18x10;64;9;10;2.5;0.976744186
18x10;64;9;10;3;0.9813953488
18x10;128;1;2;2;0.8627906977
18x10;128;1;2;2.5;0.8627906977
18x10;128;1;2;3;0.8651162791
18x10;128;1;4;2;0.8372093023
18x10;128;1;4;2.5;0.8325581395
18x10;128;1;4;3;0.8372093023
18x10;128;1;6;2;0.8162790698
18x10;128;1;6;2.5;0.8325581395
18x10;128;1;6;3;0.8093023256
18x10;128;1;8;2;0.7906976744
18x10;128;1;8;2.5;0.8023255814
18x10;128;1;8;3;0.7860465116
18x10;128;1;10;2;0.7860465116
18x10;128;1;10;2.5;0.7720930233
18x10;128;1;10;3;0.7906976744
18x10;128;3;2;2;0.9418604651
18x10;128;3;2;2.5;0.9325581395
18x10;128;3;2;3;0.9418604651
18x10;128;3;4;2;0.9372093023
18x10;128;3;4;2.5;0.9279069767
18x10;128;3;4;3;0.9255813953
18x10;128;3;6;2;0.911627907
18x10;128;3;6;2.5;0.911627907
18x10;128;3;6;3;0.923255814
18x10;128;3;8;2;0.9186046512
18x10;128;3;8;2.5;0.911627907
18x10;128;3;8;3;0.9093023256
18x10;128;3;10;2;0.9023255814
18x10;128;3;10;2.5;0.9069767442
18x10;128;3;10;3;0.9
18x10;128;5;2;2;0.9744186047
18x10;128;5;2;2.5;0.9744186047
18x10;128;5;2;3;0.9720930233
18x10;128;5;4;2;0.9604651163
18x10;128;5;4;2.5;0.9697674419
18x10;128;5;4;3;0.9651162791
18x10;128;5;6;2;0.9720930233
18x10;128;5;6;2.5;0.9720930233
18x10;128;5;6;3;0.9697674419
18x10;128;5;8;2;0.9651162791
18x10;128;5;8;2.5;0.9627906977
18x10;128;5;8;3;0.9674418605
18x10;128;5;10;2;0.9465116279
18x10;128;5;10;2.5;0.9627906977
18x10;128;5;10;3;0.9581395349
18x10;128;7;2;2;0.9930232558
18x10;128;7;2;2.5;0.9906976744
18x10;128;7;2;3;0.988372093
18x10;128;7;4;2;0.9813953488
18x10;128;7;4;2.5;0.9837209302
18x10;128;7;4;3;0.9790697674
18x10;128;7;6;2;0.9813953488
18x10;128;7;6;2.5;0.976744186
18x10;128;7;6;3;0.9790697674
18x10;128;7;8;2;0.988372093
18x10;128;7;8;2.5;0.9860465116
18x10;128;7;8;3;0.9860465116
18x10;128;7;10;2;0.9837209302
18x10;128;7;10;2.5;0.9860465116
18x10;128;7;10;3;0.9813953488
18x10;128;9;2;2;0.976744186
18x10;128;9;2;2.5;0.976744186
18x10;128;9;2;3;0.976744186
18x10;128;9;4;2;0.9720930233
18x10;128;9;4;2.5;0.976744186
18x10;128;9;4;3;0.9720930233
18x10;128;9;6;2;0.9697674419
18x10;128;9;6;2.5;0.9790697674
18x10;128;9;6;3;0.9744186047
18x10;128;9;8;2;0.9790697674
18x10;128;9;8;2.5;0.9837209302
18x10;128;9;8;3;0.9860465116
18x10;128;9;10;2;0.9790697674
18x10;128;9;10;2.5;0.9837209302
18x10;128;9;10;3;0.976744186
18x10;256;1;2;2;0.8488372093
18x10;256;1;2;2.5;0.8488372093
18x10;256;1;2;3;0.8674418605
18x10;256;1;4;2;0.811627907
18x10;256;1;4;2.5;0.823255814
18x10;256;1;4;3;0.8348837209
18x10;256;1;6;2;0.8255813953
18x10;256;1;6;2.5;0.8023255814
