NEURON;SYNAPSE;GAUSS-RAD;LOG-FACTOR;VOTE-PARAM;HIT
18x10;256;1;2;2;0.7139534884
18x10;256;1;2;2.5;0.7046511628
18x10;256;1;2;3;0.7046511628
18x10;256;1;4;2;0.6976744186
18x10;256;1;4;2.5;0.7069767442
18x10;256;1;4;3;0.7093023256
18x10;256;1;6;2;0.7023255814
18x10;256;1;6;2.5;0.7069767442
18x10;256;1;6;3;0.6837209302
18x10;256;1;8;2;0.6813953488
18x10;256;1;8;2.5;0.6837209302
18x10;256;1;8;3;0.6930232558
18x10;256;1;10;2;0.6697674419
18x10;256;1;10;2.5;0.676744186
18x10;256;1;10;3;0.6837209302
18x10;256;3;2;2;0.923255814
18x10;256;3;2;2.5;0.9209302326
18x10;256;3;2;3;0.9209302326
18x10;256;3;4;2;0.9069767442
18x10;256;3;4;2.5;0.9093023256
18x10;256;3;4;3;0.911627907
18x10;256;3;6;2;0.8976744186
18x10;256;3;6;2.5;0.9046511628
18x10;256;3;6;3;0.9023255814
18x10;256;3;8;2;0.8906976744
18x10;256;3;8;2.5;0.8953488372
18x10;256;3;8;3;0.9
18x10;256;3;10;2;0.9
18x10;256;3;10;2.5;0.888372093
18x10;256;3;10;3;0.8837209302
18x10;256;5;2;2;0.9581395349
18x10;256;5;2;2.5;0.9627906977
18x10;256;5;2;3;0.9604651163
18x10;256;5;4;2;0.9511627907
18x10;256;5;4;2.5;0.9558139535
18x10;256;5;4;3;0.9534883721
18x10;256;5;6;2;0.9534883721
18x10;256;5;6;2.5;0.9465116279
18x10;256;5;6;3;0.9372093023
18x10;256;5;8;2;0.9348837209
18x10;256;5;8;2.5;0.9418604651
18x10;256;5;8;3;0.9372093023
18x10;256;5;10;2;0.9372093023
18x10;256;5;10;2.5;0.9395348837
18x10;256;5;10;3;0.9372093023
18x10;256;7;2;2;0.9720930233
18x10;256;7;2;2.5;0.9744186047
18x10;256;7;2;3;0.9744186047
18x10;256;7;4;2;0.976744186
18x10;256;7;4;2.5;0.9813953488
18x10;256;7;4;3;0.9790697674
18x10;256;7;6;2;0.976744186
18x10;256;7;6;2.5;0.9720930233
18x10;256;7;6;3;0.976744186
18x10;256;7;8;2;0.9627906977
18x10;256;7;8;2.5;0.9651162791
18x10;256;7;8;3;0.9651162791
18x10;256;7;10;2;0.9674418605
18x10;256;7;10;2.5;0.9720930233
18x10;256;7;10;3;0.9744186047
18x10;256;9;2;2;0.9790697674
18x10;256;9;2;2.5;0.9790697674
18x10;256;9;2;3;0.9744186047
18x10;256;9;4;2;0.9697674419
18x10;256;9;4;2.5;0.9720930233
18x10;256;9;4;3;0.9651162791
18x10;256;9;6;2;0.9651162791
18x10;256;9;6;2.5;0.9627906977
18x10;256;9;6;3;0.9651162791
18x10;256;9;8;2;0.9744186047
18x10;256;9;8;2.5;0.9604651163
18x10;256;9;8;3;0.9604651163
18x10;256;9;10;2;0.9674418605
18x10;256;9;10;2.5;0.9674418605
18x10;256;9;10;3;0.9651162791
34x18;8;1;2;2;0.023255814
34x18;8;1;2;2.5;0.023255814
34x18;8;1;2;3;0.023255814
34x18;8;1;4;2;0.023255814
34x18;8;1;4;2.5;0.023255814
34x18;8;1;4;3;0.023255814
34x18;8;1;6;2;0.023255814
34x18;8;1;6;2.5;0.023255814
34x18;8;1;6;3;0.023255814
34x18;8;1;8;2;0.023255814
34x18;8;1;8;2.5;0.023255814
34x18;8;1;8;3;0.023255814
34x18;8;1;10;2;0.023255814
34x18;8;1;10;2.5;0.023255814
34x18;8;1;10;3;0.023255814
34x18;8;3;2;2;0.023255814
34x18;8;3;2;2.5;0.023255814
34x18;8;3;2;3;0.023255814
34x18;8;3;4;2;0.023255814
34x18;8;3;4;2.5;0.023255814
34x18;8;3;4;3;0.023255814
34x18;8;3;6;2;0.023255814
34x18;8;3;6;2.5;0.023255814
34x18;8;3;6;3;0.023255814
34x18;8;3;8;2;0.023255814
34x18;8;3;8;2.5;0.023255814
34x18;8;3;8;3;0.023255814
34x18;8;3;10;2;0.023255814
34x18;8;3;10;2.5;0.023255814
34x18;8;3;10;3;0.023255814
34x18;8;5;2;2;0.023255814
34x18;8;5;2;2.5;0.023255814
34x18;8;5;2;3;0.023255814
34x18;8;5;4;2;0.023255814
34x18;8;5;4;2.5;0.023255814
34x18;8;5;4;3;0.023255814
34x18;8;5;6;2;0.023255814
34x18;8;5;6;2.5;0.023255814
34x18;8;5;6;3;0.023255814
34x18;8;5;8;2;0.023255814
34x18;8;5;8;2.5;0.023255814
34x18;8;5;8;3;0.023255814
34x18;8;5;10;2;0.023255814
34x18;8;5;10;2.5;0.023255814
34x18;8;5;10;3;0.023255814
34x18;8;7;2;2;0.023255814
34x18;8;7;2;2.5;0.023255814
34x18;8;7;2;3;0.023255814
34x18;8;7;4;2;0.023255814
34x18;8;7;4;2.5;0.023255814
34x18;8;7;4;3;0.023255814
34x18;8;7;6;2;0.023255814
34x18;8;7;6;2.5;0.023255814
34x18;8;7;6;3;0.023255814
34x18;8;7;8;2;0.023255814
34x18;8;7;8;2.5;0.023255814
