st = 33: ii = 14.00, i! = 11.00, i- =  9.00, !i =  8.00, !! =  6.00, !- =  7.00, -i = 17.00, -! = 10.00, -- = 18.00, == =  38.00:  gi    0.0  g!  -20.6
st = 34: ii = 19.00, i! = 22.00, i- =  8.00, !i = 16.00, !! =  6.00, !- = 10.00, -i = 12.00, -! =  4.00, -- =  3.00, == =  28.00:  gi  -11.6  g!  -41.7
st = 35: ii = 21.00, i! = 26.00, i- =  4.00, !i = 21.00, !! = 18.00, !- =  4.00, -i =  2.00, -! =  4.00, -- =  0.00, == =  39.00:  gi  -12.4  g!  -10.1
st = 36: ii = 22.00, i! = 19.00, i- =  5.00, !i = 25.00, !! = 20.00, !- =  4.00, -i =  2.00, -! =  3.00, -- =  0.00, == =  42.00:  gi    2.9  g!  -12.9
st = 37: ii = 20.00, i! = 21.00, i- =  9.00, !i = 15.00, !! = 13.00, !- =  7.00, -i =  9.00, -! =  5.00, -- =  1.00, == =  34.00:  gi   -8.0  g!  -12.4
st = 38: ii = 18.00, i! = 29.00, i- =  1.00, !i = 20.00, !! = 18.00, !- =  4.00, -i =  3.00, -! =  6.00, -- =  1.00, == =  37.00:  gi  -23.6  g!   -7.9
st = 39: ii = 14.00, i! = 16.00, i- =  8.00, !i = 23.00, !! = 18.00, !- =  4.00, -i =  8.00, -! =  7.00, -- =  2.00, == =  34.00:  gi  -12.3  g!  -14.1
st = 40: ii = 17.00, i! = 16.00, i- =  5.00, !i = 15.00, !! = 17.00, !- =  8.00, -i =  9.00, -! =  9.00, -- =  4.00, == =  38.00:  gi   -1.8  g!   -1.7
st = 41: ii = 18.00, i! = 16.00, i- =  8.00, !i = 12.00, !! = 13.00, !- =  8.00, -i = 10.00, -! =  9.00, -- =  6.00, == =  37.00:  gi   -1.6  g!   -5.1
st = 42: ii = 20.00, i! = 14.00, i- =  9.00, !i = 19.00, !! = 12.00, !- =  9.00, -i =  5.00, -! =  8.00, -- =  4.00, == =  36.00:  gi    7.0  g!  -25.0
st = 43: ii =  9.00, i! =  9.00, i- = 11.00, !i = 17.00, !! = 14.00, !- = 16.00, -i = 11.00, -! =  7.00, -- =  6.00, == =  29.00:  gi  -12.6  g!  -17.7
st = 44: ii = 15.00, i! =  7.00, i- = 11.00, !i =  9.00, !! = 11.00, !- = 12.00, -i = 14.00, -! =  9.00, -- = 12.00, == =  38.00:  gi   13.1  g!   -6.2
st = 45: ii =  0.00, i! =  0.00, i- =  4.00, !i =  0.00, !! =  1.00, !- =  4.00, -i =  4.00, -! =  5.00, -- = 82.00, == =  83.00:  gi  -33.3  g!   -6.7
st = 46: ii =  9.00, i! =  6.00, i- = 13.00, !i =  7.00, !! =  7.00, !- = 12.00, -i =  7.00, -! = 10.00, -- = 29.00, == =  45.00:  gi   -4.8  g!  -15.4
st = 47: ii =  0.00, i! =  1.00, i- =  6.00, !i =  3.00, !! =  0.00, !- = 15.00, -i = 12.00, -! = 13.00, -- = 50.00, == =  50.00:  gi  -42.9  g!  -44.4
st = 48: ii = 21.00, i! =  9.00, i- = 12.00, !i = 10.00, !! =  7.00, !- =  8.00, -i = 12.00, -! = 11.00, -- = 10.00, == =  38.00:  gi   19.0  g!  -22.7
st = 49: ii = 21.00, i! = 11.00, i- =  7.00, !i = 13.00, !! = 14.00, !- =  8.00, -i =  9.00, -! =  6.00, -- = 11.00, == =  46.00:  gi   19.7  g!   -4.8
